stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,12.26,0,0,0,53.12,0,0,0,0,0,0
72hpf,0,0,0,7.49,0,0,0,0,0,1.07,0,3.21,0,6.42,0,0,22.47,20.33,1.07,0,0,2.14,1.07,0
21Day,1.34,0,0,6.69,1.34,0,0,0,0,2.68,0,4.02,0,9.37,0,1.34,9.37,6.69,2.68,2.68,0,0,0,0
3Month,0,0.32,0.32,7.04,0,0.32,0,4.48,0.64,1.28,0.32,2.56,0,3.84,0.64,0.32,0,0,0.32,0.32,0.96,0,0,0.32
22Month,0,0.55,0,1.09,0,0.55,0.55,8.75,0,1.64,0.55,0,1.64,1.64,0,0,0,0,0,0,0,0,0,0
