stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,16.35,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,2.14,1.07,0,0,0,0,0,3.21,4.28,0,2.14,2.14,0,0,5.35,7.49,0,0,0,1.07,0,1.07,0,0,0
21Day,2.68,0,2.68,1.34,1.34,0,2.68,0,1.34,0,2.68,0,6.69,0,0,0,2.68,5.35,0,1.34,1.34,0,0,1.34,0,0,0
3Month,0,0.32,4.16,0,0.64,0.96,53.11,1.28,0.96,0.64,0.64,0.32,0.64,0,0.32,0.32,0.96,0.32,0,0,0,0.64,8.32,0,0.96,8.96,1.28
22Month,0,0.55,0,0,0,1.64,66.15,0,1.09,0,0,0,0,1.09,0,0,0,1.09,0.55,1.09,0,0,0.55,0.55,0,0,0
