stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell
24hpf,8.17,4.09,0,0,4.09,0
72hpf,2.14,0,0,0,0,0
21Day,2.68,0,1.34,0,0,5.35
22Month,0,0,0,1.09,0,0
