stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast
72hpf,1.07,0,0,0,0,0,0,1.07,0,2.14
21Day,0,0,0,0,6.69,0,1.34,1.34,1.34,5.35
3Month,0,0.32,0,0.32,0,0,0,0,0.32,0
22Month,1.09,0.55,0.55,2.73,0,0.55,0,0,0,0
