stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,12.26,12.26,0,0,0,0,0,0,4.09,16.35,24.52,65.38,0,24.52,457.68,0,12.26,0,0,4.09,0,0,0,0,0
72hpf,1.07,2.14,0,5.35,0,2.14,0,0,0,0,0,0,8.56,1.07,11.77,1.07,74.89,57.77,1.07,13.91,0,0,2.14,0,0,0,0,0
21Day,2.68,2.68,0,10.71,0,0,2.68,1.34,1.34,4.02,2.68,1.34,0,2.68,18.74,0,22.76,13.39,0,4.02,2.68,2.68,1.34,1.34,1.34,0,0,0
3Month,0,0,0,2.56,0.32,0,0,2.24,0,0,0.96,0.64,1.6,1.6,0.96,0,0,0,0,0,0,5.44,0,0,0,0.32,0.96,0.32
22Month,0,0.55,0.55,0,0,0,0,4.37,0,0.55,1.09,0,0,1.64,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0
