stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,4.09,12.26,0,0,0,0,179.8,16.35,0,12.26,0,0,12.26,0,0,0,0,0
72hpf,2.14,0,1.07,2.14,0,0,0,59.91,0,1.07,66.33,0,99.49,8.56,1.07,5.35,2.14,0,1.07
21Day,0,0,0,1.34,0,0,2.68,12.05,1.34,1.34,45.51,2.68,81.65,1.34,4.02,4.02,1.34,2.68,0
3Month,0,0,0.64,0,0,0.64,0.32,0.96,0,0,0,0,0,0,0,0,0,0.32,0
22Month,0,0,0,0,0.55,1.64,0,0.55,0,0,0,0,0,0,0,0,0.55,0,0
