stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,1.07,0,0,0,0,0,0,0,0,4.28,0,0,1.07,0,0,0,0,21.4,17.12,0,0,1.07,0,2.14,0,0,0,0
21Day,0,9.37,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,9.37,1.34,0,0,8.03,1.34,4.02,1.34,0,1.34,0
3Month,0.32,5.44,0,0.32,0.96,0.96,0,0,16.32,2.24,2.88,0.32,3.84,3.2,1.28,0.32,0,1.28,0.32,0.32,0,0.64,0,0.32,1.92,64.95,0.32,0.32,8.32,0.64
22Month,1.64,4.92,0,1.09,0,4.92,0.55,0,73.8,1.64,6.01,0,0,1.64,8.2,0.55,2.19,0,0,1.64,0,0,1.09,0,0,29.52,0.55,0.55,0.55,1.64
