stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,3.21,4.28,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,1.34,2.68,1.34,0,0,0,0,0
3Month,0,1.28,0,0.32,0.64,0,2.24,0.32,0.32,0.96,1.6,0.32,0.32,0,0,0,0.96,0.32,0.32
22Month,1.09,1.09,0,0.55,2.19,0.55,8.2,0.55,0.55,0.55,0,1.64,1.09,0,0,0.55,0.55,0,1.09
