stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.81,2.14,1.07,0,2.14,0,0,1.07,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,2.68,1.34,0,0,5.35,0,4.02,0,0,1.34,0,0
3Month,0,0.64,9.92,0,0.32,0.32,0.96,0.32,0,159.65,1.6,0,2.88,0.96,1.92,2.24,5.12,0.32,0.96,1.92,1.92,3.2,0,3.2,1.28,0.32,2.24,89.59,0,0,0,54.71,1.6
22Month,0.55,0,2.73,0.55,0,0,0,2.19,0.55,58.49,0,0.55,3.83,0.55,0,1.64,2.19,0.55,4.37,0.55,0,0,0,4.37,1.09,0,0,32.8,0,0.55,0,1.09,0
