stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,4.09,0,0,0,4.09,0,4.09,0,20.43
72hpf,0,0,0,0,0,0,1.07,0,4.28,1.07
21Day,0,0,1.34,1.34,0,0,1.34,1.34,0,1.34
22Month,0,0,0,1.09,0.55,0,0,0,0,0
