stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,65.38,0,0,0,0,0,0
72hpf,2.14,2.14,0,0,5.35,2.14,0,0,0,0,0,0,0,0,0,2.14,0,5.35,0,0,0,4.28,22.47,0,2.14,2.14,0,17.12,0
21Day,1.34,0,1.34,6.69,0,8.03,0,1.34,2.68,0,0,0,5.35,0,0,0,5.35,10.71,0,0,0,5.35,9.37,0,0,4.02,0,5.35,2.68
3Month,0,0,0,2.56,0,0,0.32,0,2.88,0,8.64,2.24,0,1.6,0.32,0.96,2.24,0.64,0.32,0.32,0.32,0.32,0.64,0.96,0,0,0.32,0,3.52
22Month,0,0.55,0,1.64,0,0,0,0.55,4.37,1.64,15.85,0.55,0,2.19,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0.55
