stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,1.07,0,2.14,0,0,0,0,0,0,0,0,1.07,3.21,0,3.21,0,0,1.07,0,19.26,10.7,0,1.07,2.14,0,0,0,2.14,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,1.34,0,4.02,0,0,0,0,1.34,2.68,0,1.34,2.68,0,0,0,0,0,0,0
3Month,0,1.92,0.96,17.92,0.64,0,0,0.64,0.32,2.56,5.44,0,37.75,2.88,1.28,7.36,1.92,9.28,4.48,5.76,1.92,0,1.6,1.28,1.28,0.32,2.24,0.64,0,1.28,0.32,2.56,0,1.6,0.64,13.12
22Month,0,1.64,1.09,16.4,0,0,2.19,0,0,10.93,6.01,28.97,55.76,7.65,7.11,23.51,2.19,2.19,11.48,11.48,1.09,1.09,2.19,0,0,2.19,4.92,0.55,0,0.55,0,7.65,1.09,1.09,0,10.39
