stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,1.07,0,0,0,0,2.14,0,0,77.02,1.07,0,0,0,27.81,18.19,1.07
21Day,1.34,0,4.02,2.68,0,0,0,1.34,4.02,0,0,13.39,5.35,0,0,1.34,128.5,124.48,1.34
22Month,0,1.64,1.64,0,0.55,1.09,2.19,1.09,1.64,1.09,1.09,0,0,0.55,0.55,0,19.68,0,0
