stage,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,65.38,0,0,8.17,4.09,0,0,0
72hpf,0,0,0,0,1.07,11.77,0,0,2.14,1.07,3.21,0,0
21Day,0,0,0,0,0,25.43,0,2.68,0,0,10.71,0,1.34
3Month,0.32,0,0.64,0,0,0,0,0,0,0,0,0.32,0
22Month,0,0.55,8.2,1.64,0,0.55,0.55,0,0,0,0,0.55,0
