stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,9.37,0,0,1.34,0,0,0,0,0,0,1.34,2.68,0,0,0,0,1.34,0,9.37
3Month,0.64,2.88,0,0.32,0.32,0,2.56,0,1.28,0.64,0.96,6.08,0.96,0.32,0.32,0.32,0.32,0.32,0,0,0.32,1.6,0,0,0,7.04,24.96
22Month,0,2.19,0.55,0.55,3.83,0.55,14.76,0.55,10.39,3.28,0.55,18.59,0.55,0,0.55,0,0,0,0,0,0,1.64,0.55,0.55,0,0,56.85
