stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0
3Month,0,0.64,0.64,0,2.56,0.32,17.92,1.28,0,0.32,0.32,4.16,0.64,0,0.32,0.32,0.32
22Month,0.55,1.64,1.09,0.55,9.84,0,22.96,0,0,0,0,8.75,0,0.55,0.55,0,0
