stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,73.56,0,0,0,0,0,4.09,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,11.77,6.42,2.14,0,0,0,0,0,0,0,0,0,19.26,101.63,0,1.07,0,2.14,0,20.33,9.63,4.28,7.49,0,0,4.28,1.07,0,0,0,0,0,0
21Day,0,0,13.39,160.62,1.34,1.34,0,0,6.69,0,0,22.76,0,0,5.35,25.43,37.48,0,6.69,0,0,8.03,9.37,5.35,6.69,20.08,0,0,1.34,8.03,0,0,0,0,0,0
3Month,0,4.8,27.52,334.35,0.96,0,4.8,0,140.14,6.4,0.32,908.98,9.92,0.64,78.07,46.07,14.08,9.92,9.28,0.64,1.28,125.74,189.09,7.36,0.32,54.71,1.6,0,0.64,14.72,11.2,0.32,0,4.16,8,9.6
22Month,0,4.37,33.35,195.7,1.64,0,1.64,0.55,104.41,4.37,1.09,1586.94,5.47,1.64,102.77,14.76,3.28,9.84,9.84,1.09,34.99,59.04,12.57,2.73,0,56.85,3.28,2.19,0,3.28,7.11,0,1.09,0,0,3.83
