stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte
24hpf,0,0,0,0,4.09
72hpf,0,0,0,0,2.14
21Day,2.68,0,1.34,1.34,0
3Month,0.32,0.32,0,0,0
