stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,4.09,0,0,0,4.09,0,0,0
72hpf,2.14,0,2.14,1.07,6.42,1.07,5.35,8.56,6.42
21Day,1.34,1.34,0,0,1.34,0,1.34,13.39,6.69
3Month,0,0.96,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,1.64,0
