stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.67,1.07,2.14,0,0,0,0,0,0
21Day,0,4.02,8.03,1.34,1.34,0,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,0,1.34,22.76,1.34,0,0,1.34,0,0,0,0
3Month,0.32,0,94.7,0,0,0.96,0,0,11.84,1.28,0,3.52,1.6,3.52,0.32,0.96,0.32,0.32,0,1.28,70.39,0,0.32,0.32,0.96,0.32,0.32,0.32,1.6
22Month,0,2.19,26.79,0,0,0,1.09,6.01,34.44,0,0,6.01,0,0,1.09,1.09,1.09,2.73,1.09,0,54.12,0,1.64,0,0.55,0,0,0,0.55
