stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,3.21,0,0
21Day,0,0,5.35,0,0,0,0,0,0,0,0,8.03,0,0,2.68,0,0
3Month,0.64,0,0.96,0,0,0.96,0.64,0,0,0.64,1.28,0.64,0,0.32,0,0.32,0.64
22Month,0,0.55,1.09,0.55,5.47,7.11,0.55,0.55,0.55,0,1.64,0,0.55,0.55,0,0,0
