stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,4.02,0,0,0
3Month,0.96,0.96,0.32,3.84,0.32,1.28,0.64,0.64,0.64,0.32,0.64,0,0.64,101.74,1.28,13.44,0.32
22Month,0,0.55,0,0.55,0,0,0,0,0,0,0.55,0,0,26.79,0,0,0
