stage,Endothelial_cell,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell
72hpf,0,0,1.07,0,0,0
21Day,0,2.68,0,1.34,0,0
3Month,0.32,0,0,0,0.32,0.32
