stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,4.09,8.17,4.09,28.6,0
72hpf,0,1.07,0,0,0,1.07,9.63,1.07,0
21Day,4.02,0,1.34,1.34,0,1.34,2.68,2.68,1.34
