stage,Epithelial_cell,Goblet_cell,Hepatocyte,Mesenchymal_cell,Nephron_cell,Retinal_pigment_epithelial_cell
21Day,1.34,0,0,1.34,0,1.34
3Month,0,0,0.32,0.32,0.32,0
22Month,1.09,0.55,0,0,0,0
