stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,0,0,0,0,0,0,0,0,0,1.07,0,0,0,11.77,1.07,0,0,0,27.81,0,2.14,14.98,5.35,0,0,0,2.14,0,0,0,0,0,0
21Day,21.42,0,8.03,5.35,6.69,0,0,0,1.34,0,29.45,0,4.02,16.06,0,4.02,2.68,5.35,0,1.34,0,4.02,9.37,6.69,0,0,1.34,68.27,0,2.68,1.34,0,0,1.34
3Month,7.04,2.24,9.6,13.12,0,0,0.64,2.88,2.24,0,462.33,5.12,0.64,146.86,1.6,4.16,3.2,3.52,0.32,0.64,0.96,5.44,0,0,1.28,0.64,0,16,3.52,0.64,0,1.6,0.96,2.56
22Month,2.19,0.55,7.11,6.56,0,2.73,0,4.92,3.28,14.76,730.33,3.83,0,237.79,1.09,1.09,2.73,3.83,0,13.67,0,6.01,0,0,0,0.55,1.64,4.92,1.09,0,0,0,0,0.55
