stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,44.95,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,74.89,0,0,0,0,0,0,0,12.84,0,0,0,0,0,1.07,0,0,3.21,0,0,0,0,1.07,4.28,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,22.76,0,0,0,0,0,0,0,16.06,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,70.71,0.32,7.04,0.32,1.6,0.32,0.32,0.32,222.68,0,11.2,3.52,0.32,2.88,1.92,3.2,2.88,7.68,0.32,0.32,1.28,1.28,0.32,0,0.32,0.32,0,0.32,1.28,4.48,1.28,0,1.28,2.24,0.96
22Month,0.55,103.32,0,6.01,0,4.37,0,0,1.64,1191.16,6.01,73.8,4.92,1.64,5.47,0.55,1.09,13.67,8.2,0,2.73,0.55,0,0.55,0,1.09,1.09,3.83,0,0,0.55,7.11,4.37,0,0,3.83
