stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,0
21Day,1.34,0,0,0,0,0,0,1.34,5.35,1.34,1.34,0,0,0,1.34,0,0,0
3Month,1.28,0,0.32,0,0.32,0.32,0,0.32,1.28,0.32,0,0,0.32,0.32,0,0.32,0,1.92
22Month,1.09,0.55,0.55,0.55,4.37,0,0.55,0,1.64,0,0,0,0.55,0.55,0,0.55,0,0
