stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,1.07,0,0,0,0,0,0,0,1.07,0,0,3.21,0,1.07,0,108.05,11.77,0,0,1.07,0,0,2.14,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,36.14,1.34,0,0,0,1.34,0,0,0,0
3Month,0.64,0,5.12,1.6,1.28,0,8.32,1.92,0,2.24,0.64,1.6,1.28,2.24,0.64,1.28,0.32,3.2,0,0.64,0,0,0.32,6.4,0.32,15.68,1.28
22Month,0.55,0.55,2.73,1.64,2.73,1.64,24.05,1.64,0.55,6.01,0.55,0,3.28,3.83,0.55,0,0,3.28,0,0.55,0.55,0,0,2.19,0.55,0,2.73
