stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,12.05,1.34,0,0,0,0,0,0,0,1.34,0,8.03,0,0,0,0,0,1.34,0,0,6.69,0,0,0,0
3Month,1.6,0,1.92,0,0.32,0.32,2.56,0,6.08,0.64,0,1.92,0.32,53.75,2.24,0,1.92,0.32,0.64,0,0.32,0.32,2.88,0.64,0.32,0.32,0.96
22Month,1.09,0.55,1.64,0,0,0,0,0.55,26.24,0,4.37,0,1.09,6.56,0,0.55,0.55,0,0.55,0,0,0.55,0.55,1.09,0,0,0
