stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,580.27,0,0,0,0,0,0,0,8.17,0,0,0,20.43,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,21.4,0,2.14,0,1.07,0,0,0,0,0,0,0,3.21,0,1.07,4.28,4.28,2.14,1.07,1.07,82.37,4.28,0,0,4.28,0,0,2.14,49.21,0,0,0
21Day,0,1.34,17.4,1.34,4.02,0,0,0,0,0,0,0,0,2.68,0,4.02,0,1.34,8.03,0,20.08,0,46.85,4.02,0,0,2.68,0,0,2.68,21.42,0,0,0
3Month,0,0,44.47,1.92,0,0.32,0,0.64,0.32,0,0,2.88,0.96,0.32,1.6,116.78,1.28,0.32,1.28,0,0.32,0,3.2,0,2.56,0.32,0.32,0,28.48,0,5.12,0.32,26.88,2.56
22Month,0,5.47,8.75,1.09,0,0,0,0.55,1.09,2.73,0,55.21,0,1.09,1.64,5.47,0,8.75,6.56,10.39,6.01,0,2.19,0,3.28,0,0,2.19,4.92,0.55,2.73,0.55,0,2.73
