stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,24.52,0,0,0,0,0,0,0,0,4.09,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,40.65,2.14,1.07,0,0,0,0,2.14,6.42,0,0,377.64,6.42,0,7.49,8.56,0,0,6.42,4.28,6.42,0,0
21Day,53.54,4.02,1.34,0,0,1.34,0,0,1.34,0,0,82.99,4.02,0,8.03,2.68,6.69,2.68,1.34,0,10.71,0,0
3Month,1.28,0,0,0,0.32,0,0.64,0,0.32,0,0.64,1.28,0,0.96,1.28,0.32,0,0.64,0,0,0,0.32,0
22Month,0,0,0,0.55,2.19,0.55,0,0,0,0,1.09,0,0,1.64,3.83,0,0,0,0,0,0,0,0.55
