stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,396.38,0,4.09,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,16.05,1.07,117.68,2.14,13.91,0,1.07,0,0,0,0,0,0,2.14,3865.16,8.56,19.26,4.28,1.07,1.07,112.33,62.05,0,21.4,0,0,7.49,0,0,2.14,0,0,0
21Day,16.06,0,908.86,0,30.79,0,2.68,0,1.34,5.35,1.34,10.71,4.02,20.08,6135.84,6.69,41.49,0,10.71,0,36.14,16.06,0,17.4,24.09,0,2.68,9.37,38.82,0,0,0,5.35
3Month,0.32,1.28,232.6,0,0,0,0,0.64,1.6,4.8,2.24,0,1.6,1.92,3.2,0.96,1.28,0,0,0.32,0.64,0.32,0.32,0,0.64,1.92,0,0,0,0,0.32,0.64,1.28
22Month,0.55,1.09,56.85,0,0,1.64,0,0,0,3.83,0.55,0.55,0,0.55,3.83,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
