stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,T_cell
21Day,1.34,2.68,0,0,2.68,2.68,1.34,1.34,1.34,0
3Month,0.32,0.64,0.32,0.32,0,0.96,0,0,0,0.32
