stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,2.14,6.42,0,0,0,0,0,0,1.07,0,0,8.56,0,3.21,0,1.07,0,20.33,9.63,0,5.35,1.07,2.14,0,0
21Day,0,0,16.06,1.34,0,0,0,0,0,0,1.34,2.68,6.69,0,4.02,0,0,1.34,8.03,2.68,0,4.02,0,0,0,0
3Month,0,0.96,1.6,0,0,0.32,0.96,0.64,0.64,0,1.28,0.32,0.32,0.32,0,0.32,0,0,0.32,0.32,0.32,0,0.32,0,0.32,0.32
22Month,0,0,0,0,0,0.55,1.09,1.09,0,0,0.55,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
