stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,4.28,0,1.07,0,0,0,0,1.07,0,0,10.7,0,0,1.07,1.07,0,0,0,0,0,5.35,6.42,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,1.34,0,9.37,9.37,0,5.35,0,5.35,2.68,6.69,113.78,1.34,2.68,5.35,8.03,9.37,0,0,1.34,0,6.69,2.68,0,0,0,2.68,2.68,0,2.68,1.34,1.34,0,0,30.79
3Month,0.32,2.88,0,7.68,0,1.92,0.96,0.32,34.55,6.4,20.8,11.2,2.88,0.96,2.56,10.56,2.88,0.96,0,0,0.32,0.32,0,0.64,0.32,0,0,2.88,3.2,0,0,0,2.24,0.64,86.07
22Month,0,7.65,0.55,3.83,0,0.55,1.64,0,120.81,27.88,22.41,14.21,3.83,0,0,19.13,3.83,0,2.73,0.55,0,1.09,0,0,0.55,1.09,0,0,4.37,1.09,0,0,0.55,0,60.68
