stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,46,4.28,0,1.07,0,0,0,0,0,0,0,144.42,0,13.91,0,0,0,13.91,6.42,0,0,0,37.44,0,0,2.14,0,0,0,0,0
21Day,9.37,0,1.34,139.21,5.35,0,6.69,0,1.34,0,0,4.02,0,0,187.39,4.02,81.65,0,0,2.68,14.72,9.37,0,0,0,36.14,6.69,1.34,2.68,1.34,0,0,0,0
3Month,0.64,0.32,0.64,27.84,0,0.96,1.6,1.6,2.88,11.52,3.2,2.24,3.2,0.96,329.55,2.56,28.16,1.28,0,1.6,0,0,0.32,0,0,0,3.2,96.94,1.28,0,0.96,1.28,3.52,1.28
22Month,0,0,0.55,2.73,0,0.55,1.64,0.55,2.19,15.31,1.64,8.2,4.92,0.55,11.48,3.28,15.85,0,1.09,0,0.55,0,0.55,0.55,0.55,0.55,0.55,79.81,0,0,0,0,0,1.09
