stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,2.14,0,0
21Day,0,0,0,0,1.34,4.02,0,1.34,0,0,0
3Month,3.2,0.32,5.12,1.92,1.92,0.96,0.32,0,0,0.32,0.32
22Month,0,0,0,1.09,0,0.55,0,0,0,0,0
