stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,4.02,0,0,0,0,0,0
3Month,0,0.64,0.32,2.56,0.32,0.32,0.96,70.71,0.32,4.8,0.32,2.56,1.28,0.32,0.32,0.32,0.32,0.32,0.32,0.32,1.92,0.64,12.16,0.96
22Month,0,0,1.09,0.55,0,0,0,35.53,0,1.64,0,0,0.55,0.55,0.55,0,0,0,0,0.55,0,0,0,0
