stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Retinal_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,1.07,0,0,0,0
22Month,0.55,1.09,1.64,4.92,0.55,1.64,15.31,2.19,0,26.24,2.19,0.55,3.83,1.64,3.83,4.37,3.83,1.64,1.64,1.09,1.09,809.6,1.09,1.64
