stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,7.49,0,0,0,0,1.07,0,0,0,0,0,1.07,8.56,0,9.63,0,0,0,8.56,14.98,0,14.98,0,0,2.14,1.07,0,0,0
21Day,1.34,0,0,21.42,1.34,1.34,0,0,0,0,0,0,2.68,1.34,4.02,8.03,1.34,8.03,0,0,2.68,5.35,2.68,0,2.68,0,0,0,1.34,1.34,0,4.02
3Month,0,0,0,9.6,0,0,0.64,0,0.32,0,13.76,0.64,0,1.28,0.64,0,0.64,0.32,0.32,0,0,0,0,0,0,0.32,3.84,0,0.32,0.64,2.56,2.24
22Month,0,1.09,0.55,5.47,0,0,0,1.09,2.19,2.19,1.09,0,0,0.55,0,0,1.64,1.09,0,0.55,1.64,0,0,0.55,0.55,0,0,0.55,0,0,0,1.64
