stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,2.14,5.35,3.21,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,1.34,4.02,0,0,0,0
3Month,0,0.32,0.64,0,3.2,0.32,1.28,0.32,0.32,5.44,0.32,0,0,0,2.56,0,0.32
22Month,0,0,0.55,0.55,7.65,0.55,0.55,0,0.55,1.09,1.09,0,0,0,0,0.55,0
