stage,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,13.91,0,1.07,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,6.69,1.34,0,1.34,0,0
3Month,0.64,0,0,1.92,0.96,0.64,0.64,1.6,0,0.32,0.64,0,0.32,0.64,13.76,2.88
22Month,0.55,0,0.55,3.28,0,0.55,0.55,0,0.55,0.55,0,0,0,0,3.28,0
