stage,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mt_rich_cell,Muscle_cell,Neural_cell
21Day,1.34,0,0,0,0,0,0,1.34
3Month,0,0,0.32,0,0,0,0.32,0
22Month,0,0.55,33.35,1.09,0.55,2.19,0,0
