stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,1.07,5.35,0,0,112.33,2.14,2.14,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,1.34,0,0,0,0,0,1.34,1.34,0,0,24.09,1.34,0,1.34,0,1.34,1.34,1.34,0,0,0
3Month,0.32,0.32,1.6,0,0.32,0.32,0.32,0.32,2.24,0.64,0.32,0.64,0.32,0.64,0.32,0.64,0,0,0,0.32,16.96,0,0,0.32,8,0.32
22Month,0,0,1.09,0,0,0,0,0,4.92,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,1.09
