stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,16.35,0,0,0,0,0,0,0,0,0,0,4.09,0,0,110.33,0,0,0,8.17,65.38,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,65.26,0,0,10.7,4.28,3.21,0,0,0,0,0,1.07,0,0,0,5.35,2.14,65.26,0,8.56,0,25.67,32.09,0,1.07,207.54,0,0,3.21,0,0,0,0,0,0
21Day,72.28,0,0,6.69,9.37,1.34,0,1.34,0,2.68,0,1.34,0,0,1.34,2.68,0,119.13,0,14.72,0,20.08,6.69,0,1.34,85.67,5.35,0,1.34,1.34,4.02,0,0,0,2.68
3Month,0.96,0.32,0.32,18.24,0,0,0,0,0.64,1.6,0,10.88,1.6,1.6,0.32,2.24,1.92,12.8,0.64,0,0.32,0,4.8,0.64,0.64,3.52,0.32,5.44,0.32,0,0,1.28,0.64,7.68,1.28
22Month,0,1.09,0.55,11.48,0,0,0.55,0.55,1.09,3.83,25.15,63.41,3.83,3.83,1.09,1.64,4.92,8.2,0,1.09,0,0,1.09,0,0,0.55,0,2.73,0,0,0,0.55,0,0,0.55
