stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0.64,27.84,0.32,0.32,0.32,3.2,1.28,3.84,2.88,0.96,4.16,1.28,7.36,3.52,5.44,0.32,0.64,0.32,0.64,0,0,0.32,0.64,1.6,0.64,2.24
22Month,1.09,0,4.92,0,0,0,0.55,2.19,5.47,1.09,1.09,1.64,0.55,0.55,1.09,1.64,0,0,0,0,1.09,0.55,0,0.55,0,0,0
