stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,49.04,0,8.17,0,4.09,0,4.09,0,0,4.09,0,0,0,36.78,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,1.07,35.3,0,8.56,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,18.19,21.4,0,1.07,5.35,0,0,1.07,0,0,0,0
21Day,1.34,0,6.69,0,775.01,0,307.86,0,0,0,0,0,2.68,8.03,1.34,0,5.35,1.34,13.39,0,0,0,24.09,12.05,0,0,5.35,12.05,1.34,2.68,4.02,1.34,0,1.34
3Month,0,2.56,8.96,0,0,6.4,45.43,0.64,4.16,0,0,3.84,3.84,6.72,1.6,0.64,0,4.16,1.6,0.64,0,0.64,0,0,4.48,0,0,0.32,9.92,0,0,0,0.96,1.92
22Month,0,0.55,0.55,0,0,4.37,45.92,0,11.48,1.09,0,3.83,33.35,17.49,0.55,0.55,0.55,5.47,2.73,0,0.55,0.55,1.64,0,2.19,0,0,0,0.55,0,0,0,0,3.28
