stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,12.26,0,32.69,0,0,0,8.17,392.29,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,5.35,0,0,0,0,0,0,1.07,17.12,1.07,39.58,0,0,14.98,283.49,89.86,0,4.28,0,0,4.28,0,0,0,0
21Day,2.68,0,5.35,1.34,0,0,1.34,0,0,2.68,0,0,0,17.4,0,0,2.68,120.47,28.11,1.34,1.34,4.02,0,14.72,4.02,0,0,4.02
3Month,0,0,0.96,0,0.32,0.64,0.64,1.6,0,3.84,0,0.64,0.96,2.24,0.32,0,0,0.32,7.04,0.32,0.32,0,2.24,0,0,0,0.32,0.32
22Month,0,0,15.31,0,0,0.55,1.09,13.12,0.55,0.55,0,0,1.09,1.64,0,2.19,0,0,1.09,0,0,0,10.93,0.55,0,1.09,0,0
