stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,12.26,0,0,0,0,8.17,143.02,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,3.21,7.49,1.07,3.21,0,5.35,0,0,26.74,12.84,0,0,0,5.35,1.07,0,0,1.07,2.14,0,0,0,0,0
21Day,26.77,1.34,0,29.45,1.34,5.35,0,14.72,0,0,0,2.68,0,6.69,4.02,5.35,6.69,8.03,46.85,0,0,1.34,0,18.74,28.11,0,2.68,0,8.03,6.69,0,2.68,1.34,1.34,2.68,2.68,0,0,1.34
3Month,1.28,3.52,2.88,57.27,0.64,0,1.6,5.12,7.36,9.28,0.32,165.09,10.24,3.2,29.12,6.4,19.84,21.76,20.8,2.88,0.32,4.48,9.92,1.28,0.64,1.92,1.92,0,0.64,4.48,0.32,255,1.28,0,0,0,2.88,75.51,7.04
22Month,0,1.09,3.28,14.76,0,0,0.55,1.64,3.28,16.95,9.84,367.9,4.92,4.92,33.89,2.19,2.73,16.95,9.84,0,15.31,3.83,1.09,0,0,1.64,1.09,1.09,1.64,0,0,31.71,1.09,0.55,0,0.55,0.55,0.55,2.73
