stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,2.14,9.63,0,0,0,1.07,0,5.35,0,0,0,0,4.28,1.07,2.14,0,0,0
21Day,2.68,2.68,26.77,1.34,0,0,0,0,0,0,5.35,1.34,0,1.34,0,0,0,0,1.34
3Month,0,0,0.96,0,0.64,0.32,0,0,0.64,0,0,0,0.32,0,0.32,0,0.32,0.32,0.32
22Month,0,0,2.19,0,1.09,7.11,0,1.09,4.92,0.55,0.55,0,0,0,0,0,0,0,0
