stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,8.17,89.9,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,5.35,1.07,7.49,0,0,31.02,27.81,0,0,2.14,0,1.07,3.21,1.07,1.07,0,0,0
21Day,2.68,1.34,0,9.37,0,12.05,0,0,0,0,0,0,0,0,2.68,0,0,6.69,4.02,14.72,0,0,12.05,13.39,1.34,0,6.69,0,0,0,2.68,0,0,0,0
3Month,0,0.32,0,11.2,0,0,0.96,0.32,0.64,1.28,4.8,0,10.24,1.6,0.32,4.16,1.92,1.92,3.84,3.84,1.6,1.28,1.6,0,0.64,0.32,0.32,12.8,0.32,0.32,0,0.32,1.92,12.8,4.16
22Month,0,0.55,1.09,6.01,0.55,0,0.55,1.09,0,0,6.56,3.28,49.2,1.64,2.19,6.01,2.19,0.55,5.47,4.37,0.55,0,0,1.09,0.55,1.64,1.09,1.64,0,0,0,0,1.09,0,3.28
