stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,16.35,241.1,0,4.09,0,0,0,0,0,0
72hpf,9.63,5.35,7.49,5.35,0,0,0,0,0,0,0,1.07,4.28,0,23.54,1.07,2.14,0,545.59,169.03,0,23.54,0,17.12,0,2.14,0,0
21Day,18.74,1.34,9.37,1.34,0,0,1.34,0,0,0,2.68,0,5.35,1.34,42.83,0,2.68,0,250.31,29.45,2.68,10.71,2.68,8.03,2.68,8.03,5.35,0
3Month,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,1.09,0,0.55,0.55,0,0.55,1.64,0.55,0,0,0,0,1.64,0,0,0.55,0,0,1.09,0,0,0.55,0.55,0,0,0.55
