stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,36.78,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,1.34,1.34,1.34,2.68,6.69,0,1.34,0,0,0,0,164.64,2.68,0,1.34,2.68,4.02,0,0,0,0,8.03,1.34,0,2.68,4.02,0,2.68,2.68,0,0,172.67
3Month,0,0.96,0.32,7.68,0,0,2.24,0,0.64,4.16,7.04,6.4,2.88,3.84,0.64,2.24,11.84,3.2,1.6,0,0.32,0.96,1.28,0,0.32,0,1.28,4.16,0,0,2.24,1.6,228.44
22Month,0,1.64,0,4.37,0,0,0.55,0,1.09,0.55,12.57,0.55,2.73,0.55,1.09,0,22.96,3.28,0,0.55,0.55,0,0,0,0,0.55,1.09,0,0,0,0,0,101.68
