stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,7.49,2.14,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0
3Month,0.64,1.92,0,0,0,0.64,0,0,0.96,0,0.32
22Month,0,0.55,0.55,0,0,0,0,0,0,0,0
