stage,Epithelial_cell,Goblet_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
24hpf,0,0,0,0,4.09,0
72hpf,0,0,0,0,1.07,0
3Month,0.32,0,0,0.32,0,0.32
22Month,0,1.09,2.19,0,0,0
