stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,16.35,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,13.91,0,0,2.14,0,0,4.28,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,1.34,0,0,0,2.68,0,0,0
3Month,0.32,0,0,0,0.32,0,0.64,0.32,0,0,0.32,0.32,0.64,0,0,0,0,0.32,0.32,1.6,0.32,0
22Month,0.55,0.55,0.55,0.55,1.64,1.09,9.29,0,0,0.55,0.55,0,1.09,0.55,0,0,0,0,0,1.09,0,0.55
