stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,11.77,0,4.28,0,0,0,4.28,2.14,1.07,0,0,10.7,0,0,7.49,0,0,0
21Day,0,0,0,8.03,0,0,0,0,0,0,0,0,1.34,1.34,4.02,1.34,12.05,0,1.34,0,1.34,2.68,0,0,0,4.02,1.34,0,4.02,0,0,0
3Month,0.32,0.64,0.96,39.03,0.32,0.32,4.16,1.28,0.32,8,5.12,0.64,0.32,0.96,5.12,6.4,17.28,0.96,8,44.79,1.28,0,1.28,13.76,0,2.24,0.96,43.51,1.28,0.96,2.24,4.16
22Month,0,0,0.55,13.12,1.09,1.09,3.83,3.28,10.39,13.67,2.73,2.19,4.37,1.64,2.19,3.28,13.67,0.55,4.92,1.09,1.09,0,3.28,29.52,0.55,1.64,0,16.4,2.73,0,0,1.64
