stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,3.21,1.07,0,0,0
21Day,1.34,0,1.34,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,0,0,0,0.32,0,0,0.32,0.64,0.32
