stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
21Day,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,1.34,0
3Month,0.32,16,0.64,1.92,0,0,0,0,8.64,0.64,4.16,0,0.64,1.28,0.64,0.32,0.64,0,2.24
22Month,0,2.73,0,1.09,0.55,0.55,2.19,0,7.11,0,1.09,0.55,0,0,0,0,0.55,0,1.64
