stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,8.17,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,6.69,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,1.92,26.24,0.32,0.64,0,3.52,0.32,0.32,0.32,1.6,1.28,2.56,0.64,0.32,0,0,0.96,1.6,1.28,0.64
22Month,1.09,9.84,0,3.28,26.24,7.65,0.55,1.09,0,0.55,0.55,1.09,0,1.09,0.55,0,0,1.09,0,0.55
