stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
21Day,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,1.34,1.34,0,0,0,0,0,0
3Month,0,0.32,0.96,0.32,0,0,0.32,3.84,0.32,0.32,0,0.64,0,0,11.2,0.32,0,0,0.64,2.56,0,3.84,39.35,0.32
22Month,0,0,1.09,0,0.55,1.64,0.55,18.59,1.09,0.55,1.09,1.64,1.09,1.09,6.01,0,0,0,0,0.55,0.55,0,0,0
