stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,0,0
21Day,0,0,2.68,0,1.34,0,0,0,0,0,0,2.68,0,2.68,1.34,0,2.68,0,0
3Month,0,0,0.96,0.32,0,0,0,0,0.64,0.96,0.64,0,0.32,0.64,0,0,0,0.64,0.32
22Month,0,0,0,0,0,0.55,0.55,0.55,13.67,0.55,0,0,0,3.83,0,0,0,0,0.55
