stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
72hpf,0,0,0,0,2.14
21Day,1.34,2.68,1.34,1.34,1.34
